# Original image name: 39-65 top 5kx.tif 
# Pixel Size = 0.02392 um / pixel 
# Modulus [um], Orientation [deg], Height [um]
1.83826,147.75753,2.59627
2.30030,315.00000,3.24883
0.53966,347.19573,0.76219
1.21781,135.00000,1.71997
0.71039,45.00000,1.00332
1.72523,135.00000,2.43663
2.30030,315.00000,3.24883
0.93042,133.95837,1.31408
3.06148,44.68345,4.32388
0.60890,135.00000,0.85999
1.48843,135.00000,2.10219
1.25164,45.00000,1.76775
0.72750,43.66778,1.02748
1.11632,315.00000,1.57664
1.30249,135.74406,1.83957
0.77804,315.00000,1.09887
1.04867,135.00000,1.48109
1.38695,315.00000,1.95886
0.43976,315.00000,0.62110
1.58992,225.00000,2.24552
1.31929,45.00000,1.86330
1.48843,225.00000,2.10219
0.93042,133.95837,1.31408
1.75906,135.00000,2.48440
0.38939,47.48955,0.54995
1.53927,315.62960,2.17398
0.60890,45.00000,0.85999
0.37211,45.00000,0.52555
1.15015,315.00000,1.62442
1.51680,37.95423,2.14225
2.43562,45.00000,3.43994
0.57508,45.00000,0.81221
0.79514,313.78112,1.12301
1.35312,315.00000,1.91108
1.00919,211.42957,1.42532
0.76132,313.72697,1.07525
1.16719,44.16968,1.64848
2.19882,315.00000,3.10550
1.18398,315.00000,1.67219
0.59223,43.36342,0.83644
2.19882,45.00000,3.10550
1.31929,315.00000,1.86330
0.86278,43.87670,1.21855
1.66309,229.66686,2.34886
0.81187,135.00000,1.14665
0.69368,43.60282,0.97972
1.22203,3.36646,1.72593
1.89437,315.00000,2.67551
1.96202,45.00000,2.77106
3.69485,94.45560,5.21842
0.60984,115.55997,0.86131
1.30950,260.53768,1.84947
2.36917,268.26430,3.34609
2.67915,269.48844,3.78389
0.84570,315.00000,1.19442
