# Original image name: 39-65 top 5kx.tif 
# Pixel Size = 0.02392 um / pixel 
# Modulus [um], Orientation [deg], Height [um]
1.05275,271.30195,1.48685
0.52461,136.84761,0.74093
2.02968,225.00000,2.86662
1.62374,135.00000,2.29330
0.80940,124.15969,1.14316
1.00720,85.91438,1.42252
2.23265,135.00000,3.15328
1.55609,135.00000,2.19774
0.81187,135.00000,1.14665
0.67147,274.08562,0.94835
0.77473,278.88066,1.09419
0.94718,135.00000,1.33776
3.04452,135.00000,4.29993
1.43779,135.67404,2.03066
1.36930,70.61548,1.93394
1.15015,135.00000,1.62442
0.64273,225.00000,0.90776
0.71039,225.00000,1.00332
1.13336,224.14490,1.60071
1.17281,168.23171,1.65642
0.81187,45.00000,1.14665
1.25164,135.00000,1.76775
1.48843,225.00000,2.10219
0.38939,137.48955,0.54995
1.42078,135.00000,2.00663
0.22053,49.39871,0.31147
1.04867,135.00000,1.48109
0.98101,315.00000,1.38553
1.16719,135.83032,1.64848
1.03189,45.93919,1.45739
0.91336,135.00000,1.28998
0.59223,43.36342,0.83644
0.98101,135.00000,1.38553
0.47359,315.00000,0.66888
1.11632,315.00000,1.57664
0.59223,136.63658,0.83644
0.42319,137.29061,0.59769
0.74422,315.00000,1.05109
1.34719,343.49564,1.90270
1.13336,45.85510,1.60071
1.70840,135.56727,2.41286
1.18398,135.00000,1.67219
2.06351,135.00000,2.91440
1.87753,314.48384,2.65173
1.92820,315.00000,2.72329
0.52461,223.15239,0.74093
1.28546,315.00000,1.81553
1.41614,15.67952,2.00008
0.57508,315.00000,0.81221
1.70840,314.43273,2.41286
1.52226,315.00000,2.14996
0.52461,136.84761,0.74093
1.75906,45.00000,2.48440
0.67656,45.00000,0.95554
2.60476,315.00000,3.67883
0.98101,135.00000,1.38553
1.75906,135.00000,2.48440
2.26648,45.00000,3.20106
1.67457,135.57873,2.36508
1.75906,135.00000,2.48440
1.23484,224.21518,1.74402
0.74422,315.00000,1.05109
0.94718,315.00000,1.33776
0.84570,315.00000,1.19442
0.86410,175.23636,1.22042
0.76132,46.27303,1.07525
0.40594,315.00000,0.57332
0.77804,315.00000,1.09887
1.13336,224.14490,1.60071
1.16719,224.16968,1.64848
0.49080,136.97493,0.69318
1.15015,45.00000,1.62442
2.02968,315.00000,2.86662
1.62374,135.00000,2.29330
1.13336,135.85510,1.60071
1.28546,135.00000,1.81553
0.33828,225.00000,0.47777
0.91336,225.00000,1.28998
2.08049,225.46581,2.93838
1.86054,315.00000,2.62773
1.64074,134.40934,2.31731
1.97901,45.48970,2.79506
0.57508,225.00000,0.81221
1.42078,135.00000,2.00663
0.93042,133.95837,1.31408
1.91629,335.67442,2.70647
1.18398,45.00000,1.67219
1.42078,315.00000,2.00663
1.62374,225.00000,2.29330
0.86278,43.87670,1.21855
1.04867,315.00000,1.48109
0.43976,315.00000,0.62110
1.01484,315.00000,1.43331
1.65757,225.00000,2.34107
1.15015,225.00000,1.62442
0.43976,225.00000,0.62110
0.67656,225.00000,0.95554
0.64273,45.00000,0.90776
0.99807,44.02898,1.40962
0.91336,315.00000,1.28998
1.60692,44.39691,2.26953
0.69368,43.60282,0.97972
1.15015,45.00000,1.62442
2.13116,315.00000,3.00995
1.55609,45.00000,2.19774
1.65757,315.00000,2.34107
1.94518,45.49821,2.74728
1.00492,1.36393,1.41931
1.65757,225.00000,2.34107
1.58992,45.00000,2.24552
1.77605,224.45434,2.50841
2.02968,135.00000,2.86662
2.50327,45.00000,3.53550
2.89234,134.66494,4.08500
1.66016,143.79054,2.34473
0.81187,315.00000,1.14665
1.77605,135.54566,2.50841
0.62605,46.54816,0.88420
1.18398,45.00000,1.67219
1.75906,45.00000,2.48440
1.75906,225.00000,2.48440
0.71039,135.00000,1.00332
1.50544,224.35625,2.12621
1.28546,225.00000,1.81553
1.26866,315.76390,1.79180
1.11632,135.00000,1.57664
0.71039,225.00000,1.00332
0.74422,45.00000,1.05109
0.54125,225.00000,0.76443
1.08250,315.00000,1.52886
1.15015,225.00000,1.62442
0.76132,133.72697,1.07525
0.81187,45.00000,1.14665
1.75906,135.00000,2.48440
1.25164,45.00000,1.76775
1.13336,314.14490,1.60071
1.14916,357.61406,1.62301
1.15015,315.00000,1.62442
1.38695,315.00000,1.95886
1.42078,45.00000,2.00663
0.94718,225.00000,1.33776
0.86278,136.12330,1.21855
1.69140,8.13010,2.38885
1.31929,315.00000,1.86330
