# Original image name: 39-31 top 5kx.tif 
# Pixel Size = 0.02392 um / pixel 
# Modulus [um], Orientation [deg], Height [um]
2.10618,271.95251,2.97467
1.42078,135.00000,2.00663
2.18000,86.85504,3.07893
0.47359,225.00000,0.66888
1.08250,135.00000,1.52886
1.72655,190.37584,2.43850
2.16499,135.00000,3.05773
1.86054,135.00000,2.62773
1.96202,225.00000,2.77106
1.92820,135.00000,2.72329
0.28803,318.36646,0.40681
1.11632,225.00000,1.57664
1.52226,45.00000,2.14996
1.25164,135.00000,1.76775
0.37211,45.00000,0.52555
0.71039,135.00000,1.00332
0.33828,315.00000,0.47777
3.01544,48.21548,4.25886
1.91136,135.50703,2.69951
0.98101,315.00000,1.38553
3.70953,51.28249,5.23916
2.62172,44.63035,3.70279
1.74222,224.44375,2.46063
0.64273,315.00000,0.90776
2.33413,45.00000,3.29661
1.42078,135.00000,2.00663
2.53710,135.00000,3.58327
0.91336,135.00000,1.28998
1.08250,45.00000,1.52886
0.82896,136.16914,1.17078
0.47359,45.00000,0.66888
1.91136,135.50703,2.69951
1.86054,45.00000,2.62773
1.72523,225.00000,2.43663
2.11756,41.79478,2.99074
0.40594,135.00000,0.57332
3.29827,135.29382,4.65832
0.93991,14.74356,1.32748
1.45460,135.00000,2.05441
1.25164,225.00000,1.76775
0.79514,223.78112,1.12301
0.84570,45.00000,1.19442
1.38695,135.00000,1.95886
0.49080,136.97493,0.69318
2.13116,135.00000,3.00995
3.89022,135.00000,5.49435
2.60476,135.00000,3.67883
0.98101,135.00000,1.38553
1.42078,135.00000,2.00663
3.24749,225.00000,4.58659
3.99170,135.00000,5.63768
0.82896,223.83086,1.17078
1.15015,45.00000,1.62442
0.99807,225.97102,1.40962
1.57309,314.38394,2.22176
2.31283,10.72886,3.26653
0.91336,45.00000,1.28998
1.38695,45.00000,1.95886
2.26648,135.00000,3.20106
1.43779,45.67404,2.03066
3.97482,135.24381,5.61385
1.75906,225.00000,2.48440
1.21781,135.00000,1.71997
0.02392,360.00000,0.03378
1.86054,225.00000,2.62773
1.30249,224.25594,1.83957
1.50715,180.90938,2.12862
1.52226,45.00000,2.14996
1.53927,224.37040,2.17398
2.57093,135.00000,3.63105
2.46944,225.00000,3.48772
0.28803,41.63354,0.40681
1.15015,135.00000,1.62442
0.40594,45.00000,0.57332
2.36796,45.00000,3.34439
2.33413,45.00000,3.29661
0.72750,133.66778,1.02748
0.40594,225.00000,0.57332
1.89437,135.00000,2.67551
1.21781,45.00000,1.71997
2.65986,138.28088,3.75665
0.94718,225.00000,1.33776
0.52461,223.15239,0.74093
1.47492,351.60707,2.08310
0.59223,43.36342,0.83644
1.69140,225.00000,2.38885
0.94718,225.00000,1.33776
1.65757,45.00000,2.34107
1.62374,315.00000,2.29330
3.31514,45.00000,4.68214
1.96202,135.00000,2.77106
1.35312,225.00000,1.91108
1.52226,135.00000,2.14996
2.65555,135.36494,3.75057
1.55609,315.00000,2.19774
3.75491,135.00000,5.30324
1.31929,315.00000,1.86330
1.35312,315.00000,1.91108
2.26648,135.00000,3.20106
2.35111,135.41219,3.32059
1.82671,135.00000,2.57996
0.43976,225.00000,0.62110
2.43562,45.00000,3.43994
0.81187,315.00000,1.14665
3.07835,315.00000,4.34771
0.40594,225.00000,0.57332
1.06679,160.34618,1.50668
1.25164,315.00000,1.76775
1.97438,109.09349,2.78851
1.46147,111.10484,2.06411
1.96377,34.07720,2.77354
2.25166,266.95522,3.18013
0.88536,91.54816,1.25044
1.20458,96.84277,1.70129
1.55646,92.64255,2.19826
0.95800,267.13759,1.35303
1.65065,90.83032,2.33130
1.55609,45.00000,2.19774
